PC1,PC2,PC3,formulation,submission_id,overall_acceptability_score,cluster
-2.895995172,1.094902251,-0.509695459,1,20250312125039,2,7
-1.028946658,0.387438337,-1.256816172,1,20250312125007,3,1
-2.895995172,1.094902251,-0.509695459,1,20250312130444,3,7
-1.738164996,0.48067805,0.420627802,1,20250312130519,3,7
-1.816304187,-0.517542584,-1.619231272,1,20250312130629,3,3
0.414760361,-0.799395292,0.462681396,1,20250312131420,3,8
1.090637267,0.441724969,1.291958053,1,20250312124925,4,2
-0.635570793,1.629203049,0.897996546,1,20250312125809,4,2
0.557241085,-2.24072669,1.234855931,1,20250312125950,4,8
0.26061841,0.930031132,0.253063925,1,20250312130326,4,2
0.261438546,-0.030641649,1.209692302,1,20250312130425,4,8
-1.269513224,0.834774177,-0.829025285,1,20250312132822,4,1
1.427554147,-0.3609959,-0.53725187,1,20250312124904,5,4
0.587609593,1.764785876,-0.81213532,1,20250312130403,5,2
-0.318088048,-1.62714694,-1.02100339,1,20250312130755,5,3
0.774580458,1.158853672,0.220376032,1,20250312130825,5,2
-0.240768993,0.331746475,0.062227306,1,20250312131442,5,2
0.787155103,0.789391555,-0.003148479,1,20250312131635,5,2
1.986826471,-0.257446947,0.647025431,1,20250312131814,5,0
0.588429729,0.804113094,0.144493057,1,20250312125336,6,2
1.812430251,-0.020976861,-0.609010432,1,20250312131404,6,4
0.631091057,-0.589173989,0.820972085,2,20250312125039,5,8
-0.51498461,0.616260877,-1.289504064,2,20250312125007,4,1
-0.058087347,0.379146339,-1.359004263,2,20250312130444,5,1
1.298468203,-0.249799401,-0.576322539,2,20250312130519,6,4
-1.302342139,-0.288720044,-1.651919165,2,20250312130629,5,1
0.502005113,-0.47797749,0.781901415,2,20250312131420,4,8
0.576675219,0.212902429,1.324645946,2,20250312124925,5,2
1.53903477,-0.697135241,-1.004113425,2,20250312125809,4,4
0.120598092,-0.510655815,2.350774521,2,20250312125950,4,6
1.298468203,-0.249799401,-0.576322539,2,20250312130326,6,4
-0.982816246,-0.698508032,0.916777399,2,20250312130425,4,6
3.0977061,1.174948002,-1.552873256,2,20250312132822,5,9
0.883412133,-0.445299165,-0.78697169,2,20250312124904,5,4
0.895986778,-0.814761281,-1.010496202,2,20250312130403,6,4
-0.928400409,-1.500584451,0.413103538,2,20250312130755,3,6
2.696864945,-1.311359442,-0.073790165,2,20250312130825,6,0
1.211223451,-0.571217203,-0.895542558,2,20250312131442,5,4
2.883015675,-0.956618864,0.00209281,2,20250312131635,6,0
2.31463779,-0.383364985,0.538454564,2,20250312131814,4,0
0.501184977,0.482695292,-0.174726962,2,20250312125336,4,2
3.044110398,1.016351639,-0.092571018,2,20250312131404,5,9
-1.538619486,-0.494716271,1.229614642,3,20250312125039,5,6
-1.356757976,0.513356375,-1.148245304,3,20250312125007,4,1
-1.738164996,0.48067805,0.420627802,3,20250312130444,5,7
-2.086230584,-0.88636025,-0.517219722,3,20250312130519,2,3
-1.302342139,-0.288720044,-1.651919165,3,20250312130629,5,1
1.932410634,0.544629471,1.150699293,3,20250312131420,4,0
-1.584023046,-1.248748374,0.630245273,3,20250312124925,1,6
-0.929220544,-0.539911669,-0.543524839,3,20250312125809,3,3
-0.394184091,0.221194427,1.426834037,3,20250312125950,4,6
-0.713709984,0.630982415,-1.141862528,3,20250312130326,1,1
-0.613163735,-1.257040372,0.528057182,3,20250312130425,4,6
2.333251788,3.030936915,-0.328383799,3,20250312132822,2,5
-1.552014267,0.835418628,0.496510776,3,20250312124904,4,7
-1.411173813,1.315432793,-0.644571443,3,20250312130403,2,7
1.289362642,0.427003431,1.144316516,3,20250312130755,1,2
-0.06454396,2.323962666,0.902120959,3,20250312130825,2,2
1.745439769,1.150561675,0.118187941,3,20250312131442,4,2
0.697261403,-0.800039743,-0.862854665,3,20250312131635,4,4
0.119777957,0.450016967,1.394146144,3,20250312131814,2,2
-1.606430104,1.637495046,1.000184637,3,20250312125336,2,7
-0.012777071,0.253872752,-0.142039069,3,20250312131404,3,2
-1.023837302,-1.226566512,2.153555126,4,20250312125039,5,6
-0.655004927,-0.82442607,0.808206532,4,20250312125007,3,6
-2.950411009,1.896978669,-0.006021598,4,20250312130444,3,7
-2.763440144,1.291046466,1.026489754,4,20250312130519,1,7
-1.442362457,-1.729406991,0.445791431,4,20250312130629,6,6
0.315034248,0.127954714,-0.250609936,4,20250312131420,4,2
-1.902728803,-1.799633168,-0.981822914,4,20250312124925,1,3
0.902846267,2.008329954,-0.697181676,4,20250312125809,3,2
-0.394184091,0.221194427,1.426834037,4,20250312125950,3,6
-1.118840358,-1.201992962,-2.116522357,4,20250312130326,2,3
0.042458902,-1.508876448,0.310915447,4,20250312130425,3,8
2.988874425,2.779100839,-0.545525534,4,20250312132822,2,5
-1.443182592,-0.768734209,-0.510836946,4,20250312124904,3,3
-2.459352179,-0.635168624,-1.625614049,4,20250312130403,3,3
-1.738985132,1.441350831,-0.536000575,4,20250312130755,3,7
-0.196278852,1.16714567,0.322564123,4,20250312130825,5,2
-0.568580311,0.457664513,0.170798174,4,20250312131442,4,2
0.248863901,0.338820467,1.433216813,4,20250312131635,4,2
-1.365043402,0.229486424,1.529022128,4,20250312131814,2,6
-0.150148441,0.081199301,2.496157694,4,20250312125336,3,6
-0.908966275,0.953044668,0.502893553,4,20250312131404,3,2
-1.210808168,-0.620634309,1.121043775,5,20250312125039,5,6
-1.028946658,0.387438337,-1.256816172,5,20250312125007,4,1
-1.683749159,-0.321398369,-0.083046059,5,20250312130444,4,3
0.074467681,0.575290554,0.17718095,5,20250312130519,4,2
-0.272777772,-1.752420527,0.195961803,5,20250312130629,6,8
1.025072722,-0.925957781,-0.971425532,5,20250312131420,3,4
-0.799314465,-1.61178095,0.452174207,5,20250312124925,3,6
1.025072722,-0.925957781,-0.971425532,5,20250312125809,6,4
-0.066372773,0.095276389,1.318263169,5,20250312125950,4,6
-0.331482828,-0.297012041,-1.754107256,5,20250312130326,3,1
-0.011956935,-0.70680003,0.814589308,5,20250312130425,4,8
0.584960645,0.49677238,-1.352621486,5,20250312132822,4,4
1.212043587,-1.531889984,0.061085819,5,20250312124904,6,8
1.472864423,-0.486269487,0.679713324,5,20250312130403,5,0
-0.186353155,-0.470329943,-0.441446555,5,20250312130755,6,8
1.025072722,-0.925957781,-0.971425532,5,20250312130825,6,4
1.025072722,-0.925957781,-0.971425532,5,20250312131442,6,4
1.855091579,-1.414263944,0.067468596,5,20250312131635,5,0
2.041242308,-1.059523366,0.14335157,5,20250312131814,4,0
1.613704877,-0.006255322,-0.461368895,5,20250312125336,7,4
0.588429729,0.804113094,0.144493057,5,20250312131404,5,2
